TCS Status,TCS Comments,Key,OnShore QA Validation,Onshore QA Review Date,Status,Sub-Projects,Vendor,State,County,Document Year,Doc Number,Recording Date,Issue Type,Recording Book,Recording Page,Deed,DAMAR Type,3072 Fields,ADC,Summary,Description,Transmission Date,Created,Batch Date,Type of Error,Sample Data,Assignee,Critical/Non Critical
,,ETQA-28206,,,Open,Transaction QA,TCS,NC,PERSON,2023,406545,2023-04-24,Defect,1152,726,N,PP,94_Title Company Name,,Local - Field 94 = ATTORNEY ONLY; it s/b BLANK,Field 94 = As per the update In N category When Trustee & attorney both are available this field should be blank,2023-05-11,2023-05-14 18:11:55,2023-05-04,Keying error,04/30 to 05/07,,Critical
,,ETQA-28205,,,Open,Transaction QA,TCS,MD,DORCHESTER,2023,,2023-04-24,Defect,1806,475,N,PP,145_Trustee Last Name,,Local - Field 145 = ROBERSON +; it s/b ROBERSON,Field 145 = User has Keyed + sign for other Trustee,2023-05-11,2023-05-14 18:11:54,2023-05-05,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28204,,,Open,Transaction QA,TCS,FL,BREVARD,2023,81256,2023-04-24,Defect,9770,173,F,FJ,139_Attorney Name,,Local - Field 139 = GILBERT GARCIA GROUP PA; it s/b GILBERT GARCIA GROUP P A 028391,Field 139 = As per SOP for FL State Attorney name S/b keyed with Code,2023-05-11,2023-05-14 18:11:53,2023-05-04,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28203,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,123339,2023-05-01,Defect,,,R,RL,44_Matching Grant Deed/Original Document Number,,Local - Field 44 = 46837; it s/b 456837,Field 44 = User has keyed incorrect original document number,2023-05-11,2023-05-14 18:11:52,2023-05-05,Keying error,04/30 to 05/07,,Critical
,,ETQA-28202,,,Open,Transaction QA,TCS,FL,SUWANNEE,2023,265110,2023-04-14,Defect,2433,248,L,LP,143_Document Filing Date,,Local - Field 143 = 04142023; it s/b 04122023,Field 143 = User has keyed incorrect Filling date,2023-05-11,2023-05-14 18:11:51,2023-05-01,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28201,,,Open,Transaction QA,TCS,OH,CUYAHOGA,2023,4190229,2023-04-19,Defect,,,U,SD,10_Buyer/Borrower/Defendant 1 First Name or Company Name,,Local - Field 10 = MIDDLEBURG HEIGHTS LAND REUTIL; it s/b MIDDLEBURG HTS LAND REUTILIZAT,Field 10 = As per the abbreviation buyer name should be captured.,2023-05-11,2023-05-14 18:11:50,2023-05-03,Keying error,04/30 to 05/07,,Critical
,,ETQA-28200,,,Open,Transaction QA,TCS,OH,CLERMONT,2023,6774,2023-04-20,Defect,2942,4456,U,SD,10_Buyer/Borrower/Defendant 1 First Name or Company Name,,Local - Field 10 = MELODIE; it s/b MELODIE & WILLIAM,Field 10 = In this document both buyer last names are same so  Both buyer 1st name should be megred in field no 10.,2023-05-11,2023-05-14 18:11:49,2023-05-04,Keying error,04/30 to 05/07,,Critical
,,ETQA-28199,,,Open,Transaction QA,TCS,OH,CLERMONT,2023,6774,2023-04-20,Defect,2942,4456,U,SD,12_Buyer/Borrower 1 Vesting,,Local - Field 12 = AS; it s/b JT,Field 12 = User has incorrectly capture buyer vesting type.,2023-05-11,2023-05-14 18:11:48,2023-05-04,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28198,,,Open,Transaction QA,TCS,OH,CLERMONT,2023,6774,2023-04-20,Defect,2942,4456,U,SD,108_Buyer/Borrower/Defendant 2 Last Name,,Local - Field 108 = JWROS; it s/b BLANK,Field 108 = In this document both buyer last names are same so  Both buyer name should be megred in field no 10&11 . so this field should be blank,2023-05-11,2023-05-14 18:11:47,2023-05-04,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28197,,,Open,Transaction QA,TCS,OH,CLERMONT,2023,6774,2023-04-20,Defect,2942,4456,U,SD,107_Buyer/Borrower/Defendant 2 First Name (or Company Name),,Local - Field 107 = WILLIAM E; it s/b BLANK,Field 107 = In this document both buyer last names are same so  Both buyer name should be megred in field no 10&11 . so this field should be blank,2023-05-11,2023-05-14 18:11:45,2023-05-04,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28196,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,116859,2023-04-25,Defect,,,R,RL,65_Original Recording Date/Contract Sales Date for Deed/Deed of Trust/Execution Date/Signature Date,,Local - Field 65 = 03092005; it s/b 03222023,Field 65 = User wrongly capture Original recoding date,2023-05-11,2023-05-14 18:11:44,2023-05-01,Keying error,04/30 to 05/07,,Critical
,,ETQA-28195,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,116859,2023-04-25,Defect,,,R,RL,44_Matching Grant Deed/Original Document Number,,Local - Field 44 = 185893; it s/b 81391,Field 44 = User wrongly capture Original document number,2023-05-11,2023-05-14 18:11:43,2023-05-01,Keying error,04/30 to 05/07,,Critical
,,ETQA-28194,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,123515,2023-05-01,Defect,,,N,ND,180_Due on Date/First Missed Payment Date (NOD),,Local - Field 180 = BLANK; it s/b 12012022,Field 180 = User missed to capture first missed payment date,2023-05-11,2023-05-14 18:11:42,2023-05-05,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28193,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,123515,2023-05-01,Defect,,,N,ND,11_Buyer/Borrower/Defendant 1 Last Name or Company Code,,Local - Field 11 = CRUZ; it s/b BLANK,Field 11 = User wrongly capture buyer last name,2023-05-11,2023-05-14 18:11:41,2023-05-05,Keying error,04/30 to 05/07,,Critical
,,ETQA-28192,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,123515,2023-05-01,Defect,,,N,ND,10_Buyer/Borrower/Defendant 1 First Name or Company Name,,Local - Field 10 = MARCEL D; it s/b I & M LIVING TRUST,Field 10 = User wrongly capture buyer name,2023-05-11,2023-05-14 18:11:40,2023-05-05,Keying error,04/30 to 05/07,,Critical
,,ETQA-28191,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,120636,2023-04-27,Defect,,,R,RL,44_Matching Grant Deed/Original Document Number,,Local - Field 44 = 135613; it s/b 90034,Field 44 = User incorrectly capture original document no,2023-05-11,2023-05-14 18:11:39,2023-05-03,Keying error,04/30 to 05/07,,Critical
,,ETQA-28190,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,120636,2023-04-27,Defect,,,R,RL,65_Original Recording Date/Contract Sales Date for Deed/Deed of Trust/Execution Date/Signature Date,,Local - Field 65 = 04222019; it s/b 03292023,Field 65 = User incorrectly capture original recording date,2023-05-11,2023-05-14 18:11:38,2023-05-03,Keying error,04/30 to 05/07,,Critical
,,ETQA-28189,,,Open,Transaction QA,TCS,FL,HERNANDO,2023,12559,2023-03-06,Defect,4272,1511,L,LP,25_Seller/Grantor/Plaintiff 1 First Name or Company Name,,Local - Field 25 = MILL CITY MTG LOAN 2017-2 (CT); it s/b MILL CITY MTG L TR 2017-2 (CT),Field 25 = User incorrectly capture plaintiff name,2023-05-11,2023-05-14 18:11:37,2023-05-03,Keying error,04/30 to 05/07,,Critical
,,ETQA-28188,,,Open,Transaction QA,TCS,FL,HERNANDO,2023,12559,2023-03-06,Defect,4272,1511,L,LP,142_Matching Grant Deed/Original Page Number (NOD & NOT),,Local - Field 142 = BLANK; it s/b 1780,Field 142 = user missed to capture original mortgage page no,2023-05-11,2023-05-14 18:11:36,2023-05-03,Keying error,04/30 to 05/07,,Critical
,,ETQA-28187,,,Open,Transaction QA,TCS,FL,HERNANDO,2023,12559,2023-03-06,Defect,4272,1511,L,LP,141_Matching Grant Deed/Original Book Number (NOD & NOT),,Local - Field 141 = BLANK; it s/b 2384,Field 141 = user missed to capture original mortgage book no,2023-05-11,2023-05-14 18:11:35,2023-05-03,Keying error,04/30 to 05/07,,Critical
,,ETQA-28186,,,Open,Transaction QA,TCS,FL,HERNANDO,2023,12559,2023-03-06,Defect,4272,1511,L,LP,65_Original Recording Date/Contract Sales Date for Deed/Deed of Trust/Execution Date/Signature Date,,Local - Field 65 = BLANK; it s/b 01082007,Field 65 = user missed to capture original mortgage recording date,2023-05-11,2023-05-14 18:11:34,2023-05-03,Keying error,04/30 to 05/07,,Critical
,,ETQA-28185,,,Open,Transaction QA,TCS,FL,ESCAMBIA,2023,27716,2023-04-11,Defect,8958,662,F,FJ,143_Document Filing Date,,Local - Field 143 = BLANK; it s/b 03302023,Field 143 = User missed to capture document filing date,2023-05-11,2023-05-14 18:11:33,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28184,,,Open,Transaction QA,TCS,FL,ESCAMBIA,2023,27706,2023-04-11,Defect,8958,642,F,FJ,143_Document Filing Date,,Local - Field 143 = BLANK; it s/b 03282023,Field 143 = User missed to key the document filing date,2023-05-11,2023-05-14 18:11:32,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28183,,,Open,Transaction QA,TCS,FL,ESCAMBIA,2023,27706,2023-04-11,Defect,8958,642,F,FJ,139_Attorney Name,,Local - Field 139 = GREENSPOON MARDER LLP; it s/b GREENSPOON MARDER LLP                     043948,Field 139 = User missed to key the attorney code from table,2023-05-11,2023-05-14 18:11:31,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28182,,,Open,Transaction QA,TCS,FL,ESCAMBIA,2023,27706,2023-04-11,Defect,8958,642,F,FJ,126_Date of Default (NOD),,Local - Field 126 = BLANK; it s/b 11012021,Field 126 = User missed to key the date of default,2023-05-11,2023-05-14 18:11:30,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28181,,,Open,Transaction QA,TCS,OR,JACKSON,2023,7350,2023-04-19,Defect,,,L,LP,143_Document Filing Date,,Local - Field 143 = 01192023; it s/b 04192023,Field 143 = User incorrectly keyed the document filing date,2023-05-11,2023-05-14 18:11:28,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28180,,,Open,Transaction QA,TCS,NV,NYE,2023,1006278,2023-04-19,Defect,,,U,TX,12_Buyer/Borrower 1 Vesting,,Local - Field 12 = CT; it s/b PT,Field 12 = User incorrectly keyed the buyer vesting,2023-05-11,2023-05-14 18:11:27,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28179,,,Open,Transaction QA,TCS,OH,CUYAHOGA,2023,4200108,2023-04-20,Defect,,,U,SD,10_Buyer/Borrower/Defendant 1 First Name or Company Name,,Local - Field 10 = BILLMARTN LLC; it s/b BILLMART LLC,Field 10 = User did typo error while keying the buyer name,2023-05-11,2023-05-14 18:11:26,2023-05-04,Keying error,04/30 to 05/07,,Critical
,,ETQA-28178,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,121876,2023-04-28,Defect,,,U,TE,181_Grantee Foreclosing Beneficiary Indicator - WAS (Y) or WAS NOT (N) (TDUS),,Local - Field 181 = BLANK; it s/b Y,Field 181 = User missed to key the Grantee Foreclosing beneficiary indicator as Y,2023-05-11,2023-05-14 18:11:25,2023-05-05,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28177,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,121876,2023-04-28,Defect,,,U,TE,132_Unpaid Balance (NOT),,Local - Field 132 = BLANK; it s/b 3371703.33,Field 132 = User missed to key the unpaid balance,2023-05-11,2023-05-14 18:11:24,2023-05-05,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28176,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,121876,2023-04-28,Defect,,,U,TE,104_Accommodation Flag,,Local - Field 104 = BLANK; it s/b Y,Field 104 = User missed to key the accomadation flag as Y,2023-05-11,2023-05-14 18:11:23,2023-05-05,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28175,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,121876,2023-04-28,Defect,,,U,TE,101_Trustee's Sale/Timeshare Order Number,,Local - Field 101 = BLANK; it s/b 221216351,Field 101 = User missed to key the trustee sale order number,2023-05-11,2023-05-14 18:11:22,2023-05-05,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28174,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,121876,2023-04-28,Defect,,,U,TE,102_Trustee's Sale/Timeshare Abbreviation,,Local - Field 102 = 221216; it s/b BLANK,Field 102 = User incorrectly keyed the trustee sale order number in abbrevbiation field,2023-05-11,2023-05-14 18:11:21,2023-05-05,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28173,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,121876,2023-04-28,Defect,,,U,TE,96_Title Order Abbreviation,,Local - Field 96 = BLANK; it s/b CAD,Field 96 = User missed to key the title order abbreviation in this field,2023-05-11,2023-05-14 18:11:20,2023-05-05,Keying error,04/30 to 05/07,,Critical
,,ETQA-28172,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,121876,2023-04-28,Defect,,,U,TE,97_Escrow Order Number,,Local - Field 97 = CAD; it s/b BLANK,Field 97 = User incorrectly keyed the escrow order number,2023-05-11,2023-05-14 18:11:19,2023-05-05,Keying error,04/30 to 05/07,,Critical
,,ETQA-28171,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,121876,2023-04-28,Defect,,,U,TE,25_Seller/Grantor/Plaintiff 1 First Name or Company Name,,Local - Field 25 = PROPERTY GUARANTE CO INC (CE); it s/b PROPERTY GUARANTEE CO INC (CE),Field 25 = As per byte limit buyer name should be captured,2023-05-11,2023-05-14 18:11:18,2023-05-05,Keying error,04/30 to 05/07,,Critical
,,ETQA-28170,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,116366,2023-04-24,Defect,,,L,LP,44_Matching Grant Deed/Original Document Number,,Local - Field 44 = 10629; it s/b BLANK,Field 44 = User keyed lien info as mortgage info,2023-05-11,2023-05-14 18:11:17,2023-05-01,Keying error,04/30 to 05/07,,Critical
,,ETQA-28169,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,116366,2023-04-24,Defect,,,L,LP,27_Mortgage Amount,,Local - Field 27 = 104811; it s/b BLANK,Field 27 = User keyed lien amount as mortgage amount,2023-05-11,2023-05-14 18:11:15,2023-05-01,Keying error,04/30 to 05/07,,Critical
,,ETQA-28168,,,Open,Transaction QA,TCS,CA,AMADOR,2023,2114,2023-04-25,Defect,,,U,TE,181_Grantee Foreclosing Beneficiary Indicator - WAS (Y) or WAS NOT (N) (TDUS),,Local - Field 181 = Y; it s/b N,Field 181 = User keyed foreclosing indication incorrectly,2023-05-11,2023-05-14 18:11:14,2023-05-04,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28167,,,Open,Transaction QA,TCS,CA,AMADOR,2023,2114,2023-04-25,Defect,,,U,TE,102_Trustee's Sale/Timeshare Abbreviation,,Local - Field 102 = BLANK; it s/b CA,Field 102 = User missed to key trustee sale number,2023-05-11,2023-05-14 18:11:13,2023-05-04,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28166,,,Open,Transaction QA,TCS,CA,AMADOR,2023,2114,2023-04-25,Defect,,,U,TE,101_Trustee's Sale/Timeshare Order Number,,Local - Field 101 = BLANK; it s/b 21-00636-CE,Field 101 = User missed to key trustee sale number,2023-05-11,2023-05-14 18:11:12,2023-05-04,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28165,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,118159,2023-04-26,Defect,,,U,TE,181_Grantee Foreclosing Beneficiary Indicator - WAS (Y) or WAS NOT (N) (TDUS),,Local - Field 181 = Y; it s/b N,Field 181 = User keyed foreclosing indication incorrectly,2023-05-11,2023-05-14 18:11:11,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28164,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,118159,2023-04-26,Defect,,,U,TE,182_Original Mortgage Recording Date from the Trustee's Deed Upon Sale (TDUS),,Local - Field 182 = BLANK; it s/b 09272006,Field 182 = User missed to key orginal deed info,2023-05-11,2023-05-14 18:11:10,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28163,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,118159,2023-04-26,Defect,,,U,TE,132_Unpaid Balance (NOT),,Local - Field 132 = BLANK; it s/b 556814.51,Field 132 = User missed to key unpaid amount,2023-05-11,2023-05-14 18:11:08,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28162,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,118159,2023-04-26,Defect,,,U,TE,44_Matching Grant Deed/Original Document Number,,Local - Field 44 = BLANK; it s/b 713888,Field 44 = User missed to key orginal deed info,2023-05-11,2023-05-14 18:11:07,2023-05-03,Keying error,04/30 to 05/07,,Critical
,,ETQA-28161,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,118159,2023-04-26,Defect,,,U,TE,25_Seller/Grantor/Plaintiff 1 First Name or Company Name,,Local - Field 25 = SOTELO BERNARDO (TE); it s/b MTC FINANCIAL INC (CE),Field 25 = User keyed incorrect name,2023-05-11,2023-05-14 18:11:06,2023-05-03,Keying error,04/30 to 05/07,,Critical
,,ETQA-28160,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,118159,2023-04-26,Defect,,,U,TE,13_Buyer/Borrower Street Address,,Local - Field 13 = 2015 MANHATTAN BEACH BLVD #; it s/b 2015 MANHATTAN BEACH BLVD #100,Field 13 = User made a typo,2023-05-11,2023-05-14 18:11:05,2023-05-03,Keying error,04/30 to 05/07,,Critical
,,ETQA-28159,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,119051,2023-04-26,Defect,,,R,RL,65_Original Recording Date/Contract Sales Date for Deed/Deed of Trust/Execution Date/Signature Date,,Local - Field 65 = 03192019; it s/b 11292022,Field 65 = User keyed mortgage info instead of notice recorded info,2023-05-11,2023-05-14 18:11:04,2023-05-02,Keying error,04/30 to 05/07,,Critical
,,ETQA-28158,,,Open,Transaction QA,TCS,CA,RIVERSIDE,2023,119051,2023-04-26,Defect,,,R,RL,44_Matching Grant Deed/Original Document Number,,Local - Field 44 = 91177; it s/b 484865,Field 44 = User keyed mortgage info instead of notice recorded info,2023-05-11,2023-05-14 18:11:03,2023-05-02,Keying error,04/30 to 05/07,,Critical
,,ETQA-28157,,,Open,Transaction QA,TCS,CO,PUEBLO,2023,2309672,2023-04-14,Defect,,,R,RL,145_Trustee Last Name,,Local - Field 145 = BLANK; it s/b DOUGHTY,Field 145 = user missed to capture trustee last name,2023-05-11,2023-05-14 18:11:02,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28156,,,Open,Transaction QA,TCS,FL,HENDRY,2023,26004733,2023-04-18,Defect,1049,263,U,TX,138_Plaintiff 2 Last Name,,Local - Field 138 = BLANK; it s/b NAVALTA,Field 138 = user missed to capture old borrower name,2023-05-11,2023-05-14 18:11:01,2023-05-01,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28155,,,Open,Transaction QA,TCS,FL,HENDRY,2023,26004733,2023-04-18,Defect,1049,263,U,TX,137_Plaintiff 2 First Name or Company Name,,Local - Field 137 = BLANK; it s/b RAFAEL R,Field 137 = user missed to capture old borrower name,2023-05-11,2023-05-14 18:11:00,2023-05-01,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28154,,,Open,Transaction QA,TCS,FL,HENDRY,2023,26004733,2023-04-18,Defect,1049,263,U,TX,12_Buyer/Borrower 1 Vesting,,Local - Field 12 = RS; it s/b JT,Field 12 = user incorrectly captured buyer vesting,2023-05-11,2023-05-14 18:10:59,2023-05-01,Keying error,04/30 to 05/07,,Non-Critical
,,ETQA-28153,,,Open,Transaction QA,TCS,FL,ESCAMBIA,2023,27695,2023-04-11,Defect,8958,602,F,FJ,139_Attorney Name,,Local - Field 139 = KATHERINE C KERWIN; it s/b MARINOSCI LAW GROUP PC 003745,Field 139 = user incorrectly captured attorney name,2023-05-11,2023-05-14 18:10:58,2023-05-03,Keying error,04/30 to 05/07,,Non-Critical
